aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aether 4.27.2-1
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-5
alsa-tools 1.2.15-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.14.1-1
appstream 1.1.3-1
aquamarine 0.12.1-1
arch-audit 0.2.0-5
archlinux-keyring 20260707.1-1
argon2 20190702-6
asdcontrol 1:0.6.0-1
at-spi2-core 2.60.5-1
atkmm 2.28.5-2
attica 6.28.0-1
attr 2.6.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
binutils 2.46.1+r3+g046eeeef4721-1
bison 3.8.2-8
bitwarden 2026.3.1-2
blas 3.12.1-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-libs 5.87-2
bolt 0.9.11-1
boost-libs 1.91.0-1
breeze-icons 6.28.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cava 0.10.7-1
cblas 3.12.1-2
ccache 4.13.6-1
cdparanoia 10.2-9
cfitsio 1:4.6.4-1
chromium 150.0.7871.124-1
cifs-utils 7.5-1
cjson 1.7.19-1
clamav 1.5.3-1
clang 22.1.8-1
clash-verge-rev-bin 2.5.1-1
claude-code 2.1.179-1
cliamp 1.57.1-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmake 4.4.0-1
compiler-rt 22.1.8-1
composefs 1.0.8-1
confuse 3.3-5
containerd 2.3.3-1
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-2
cpuinfo r843.ea6b9f1-1
cracklib 2.10.3-1
cryptsetup 2.8.6-1
cups 2:2.4.19-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.3-1
curl 8.21.0-1
cursor-bin 3.7.42-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
deno 2.9.3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
diffutils 3.12-2
djvulibre 3.5.30.1-1
docker 1:29.6.2-1
docker-buildx 0.35.0-1
docker-compose 5.3.1-1
dosfstools 4.2-5
dotnet-host 10.0.10.sdk110-1
dotnet-runtime 10.0.10.sdk110-1
dotnet-runtime-9.0 9.0.18.sdk119-1
double-conversion 3.4.0-1
doxygen 1.16.1-3
duktape 2.7.0-7
durdraw 0.29.0-2
dust 1.2.4-2
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
eigen3 3.4.1-1
electron 1:43-1
electron37 37.5.1-1
electron39 39.8.10-1
electron42 42.7.0-1
electron43 43.1.1-1
elephant 2.21.0-1
elephant-bluetooth 2.21.0-1
elephant-calc 2.21.0-1
elephant-clipboard 2.21.0-1
elephant-desktopapplications 2.21.0-1
elephant-files 2.21.0-1
elephant-menus 2.21.0-1
elephant-providerlist 2.21.0-1
elephant-runner 2.21.0-1
elephant-symbols 2.21.0-1
elephant-todo 2.21.0-1
elephant-unicode 2.21.0-1
elephant-websearch 2.21.0-1
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
enet 1.3.18-1
evince 1:48.4-1
exempi 2.6.6-3
exfatprogs 1.4.2-1
exiv2 0.28.8-2
expac 10-12
expat 2.8.2-1
extra-cmake-modules 6.28.0-1
eza 0.23.5-2
fakeroot 1:1.37.2-2
fastfetch 2.66.0-1
fcitx5 5.1.21-1
fcitx5-chinese-addons 5.1.13-2
fcitx5-configtool 5.1.14-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-1
fd 10.4.2-2
ffmpeg 2:8.1.2-10
ffmpeg4.4 4.4.8-2
ffmpegthumbnailer 2.3.0-1
fftw 3.3.11-1
figlet 2.2.5-6
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flatpak 1:1.18.0-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.2-1
fprintd 1.94.5-2
freeglut 3.8.0-1
freerdp 2:3.30.0-1
freetype2 2.14.3-1
frei0r-plugins 3.2.3-2
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fzf 0.74.0-1
gavl 2.0.1-2
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.1.1+r346+g4e03491b401d-4
gcc-libs 16.1.1+r346+g4e03491b401d-4
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
geeqie 2.9-3
gettext 1.0-2
gexiv2 0.16.1-1
ghostscript 10.07.1-1
giflib 6.1.3-1
git 2.55.0-1
github-cli 2.96.0-1
gjs 2:1.88.1-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.88.2-1
glibc 2.43+r37+gfdf10644d6ee-1
glibmm 2.66.9-1
glm 1.0.3-1
glslang 1:1.4.350.1-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-calculator 50.0-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-2
gnutls 3.8.13-2
go 2:1.26.5-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gphoto2 2.5.32-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gpu-screen-recorder 5.15.1-1
graphene 1.10.8-2
graphite 1:1.3.15-1
graphviz 15.1.0-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gst-libav 1.28.5-2
gst-plugin-gtk 1.28.5-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.5-2
gst-plugins-base 1.28.5-2
gst-plugins-base-libs 1.28.5-2
gst-plugins-good 1.28.5-2
gstreamer 1.28.5-2
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.1-1
gvfs-afc 1.60.1-1
gvfs-gphoto2 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-nfs 1.60.1-1
gvfs-smb 1.60.1-1
gzip 1.14-2
harfbuzz 14.2.1-1
